ticker,headline_count,compound,sentiment_label,sentiment_score
PEP,10,0.395,high_positive,69.8
KDP,10,0.3908,high_positive,69.5
FANG,10,0.3063,high_positive,65.3
CEG,10,0.3038,high_positive,65.2
GILD,10,0.3037,high_positive,65.2
INTC,10,0.303,high_positive,65.1
ADSK,10,0.2948,high_positive,64.7
AMZN,10,0.2749,high_positive,63.7
XEL,10,0.2721,high_positive,63.6
DXCM,10,0.2537,high_positive,62.7
TTWO,10,0.2506,high_positive,62.5
BKR,10,0.249,high_positive,62.5
ADI,10,0.2308,high_positive,61.5
NFLX,10,0.22,high_positive,61.0
FER,10,0.2182,high_positive,60.9
WBD,10,0.2091,high_positive,60.5
ABNB,10,0.2019,high_positive,60.1
CCEP,10,0.1989,neutral,59.9
LRCX,10,0.1969,neutral,59.8
TXN,10,0.1954,neutral,59.8
CRWD,10,0.195,neutral,59.7
MCHP,10,0.1871,neutral,59.4
TSLA,10,0.1824,neutral,59.1
ODFL,10,0.1803,neutral,59.0
GOOGL,10,0.1796,neutral,59.0
DDOG,10,0.1709,neutral,58.5
EXC,10,0.1677,neutral,58.4
ROP,10,0.1644,neutral,58.2
TMUS,10,0.1627,neutral,58.1
MDLZ,10,0.1586,neutral,57.9
CTAS,10,0.1543,neutral,57.7
ALNY,10,0.154,neutral,57.7
ISRG,10,0.1515,neutral,57.6
AEP,10,0.1473,neutral,57.4
CTSH,10,0.1458,neutral,57.3
AXON,10,0.1413,neutral,57.1
HON,10,0.14,neutral,57.0
ORLY,10,0.1397,neutral,57.0
PDD,10,0.1385,neutral,56.9
SNPS,10,0.1326,neutral,56.6
WDC,10,0.1315,neutral,56.6
AAPL,10,0.129,neutral,56.5
AMGN,10,0.1284,neutral,56.4
DASH,10,0.1258,neutral,56.3
PLTR,10,0.12,neutral,56.0
IDXX,10,0.1186,neutral,55.9
ROST,10,0.118,neutral,55.9
AMD,10,0.114,neutral,55.7
QCOM,10,0.1137,neutral,55.7
PANW,10,0.1132,neutral,55.7
CPRT,10,0.1119,neutral,55.6
MSTR,10,0.1104,neutral,55.5
MAR,10,0.11,neutral,55.5
MU,10,0.1099,neutral,55.5
PYPL,10,0.105,neutral,55.2
ADP,10,0.1027,neutral,55.1
CDNS,10,0.1021,neutral,55.1
MNST,10,0.1011,neutral,55.1
VRTX,10,0.0995,neutral,55.0
CSCO,10,0.0987,neutral,54.9
CMCSA,10,0.0944,neutral,54.7
SBUX,10,0.0894,neutral,54.5
WDAY,10,0.0841,neutral,54.2
NXPI,10,0.0796,neutral,54.0
LIN,10,0.079,neutral,53.9
KLAC,10,0.0746,neutral,53.7
PCAR,10,0.0715,neutral,53.6
FAST,10,0.0711,neutral,53.6
MPWR,10,0.0704,neutral,53.5
GOOG,10,0.0592,neutral,53.0
VRSK,10,0.0584,neutral,52.9
ASML,10,0.0534,neutral,52.7
PAYX,10,0.0474,neutral,52.4
ZS,10,0.0417,neutral,52.1
INTU,10,0.0342,neutral,51.7
NVDA,10,0.0313,neutral,51.6
ADBE,10,0.0311,neutral,51.6
ARM,10,0.0296,neutral,51.5
AMAT,10,0.0258,neutral,51.3
INSM,10,0.0244,neutral,51.2
MELI,10,0.0144,neutral,50.7
APP,10,0.0106,neutral,50.5
FTNT,10,0.0101,neutral,50.5
REGN,10,0.0059,neutral,50.3
AVGO,10,0.0038,neutral,50.2
CHTR,10,0.0031,neutral,50.2
SNDK,10,0.0004,neutral,50.0
KHC,10,-0.0029,neutral,49.9
MSFT,10,-0.0214,neutral,48.9
WMT,10,-0.0234,neutral,48.8
STX,10,-0.0244,neutral,48.8
CSGP,10,-0.0566,neutral,47.2
EA,10,-0.0582,neutral,47.1
BKNG,10,-0.0887,neutral,45.6
META,10,-0.0933,neutral,45.3
MRVL,10,-0.0968,neutral,45.2
GEHC,10,-0.1299,neutral,43.5
CSX,10,-0.1385,neutral,43.1
SHOP,10,-0.1584,neutral,42.1
TRI,10,-0.2487,negative,37.6
COST,10,-0.2863,negative,35.7
